TF	TF_uniprot	Target	Target_uniprot	Mode of Regulation	References (PMID)
AATF	Q9NY61	BAX	Q07812	Repression	22909821
AATF	Q9NY61	CDKN1A	P38936	Unknown	17157788
AATF	Q9NY61	KLK3	P07288	Unknown	23146908
AATF	Q9NY61	MYC	P01106	Activation	20549547
AATF	Q9NY61	TP53	P04637	Unknown	17157788
ABL1	P00519	BAX	Q07812	Activation	11753601
ABL1	P00519	BCL2	P10415	Repression	11753601
ABL1	P00519	BCL6	P41182	Repression	15509806
ABL1	P00519	CCND2	P30279	Activation	15509806
ABL1	P00519	CDKN1A	P38936	Activation	11753601;9916993
ABL1	P00519	CSF1	P09603	Activation	23418320
ABL1	P00519	CSF1	P09603	Unknown	18619508
ABL1	P00519	FOXO3	O43524	Activation	15509806
ABL1	P00519	JUN	P05412	Activation	15145216
ABL1	P00519	JUN	P05412	Repression	19357699
ABL1	P00519	PIM1	P11309	Activation	15145216
ABL1	P00519	TP53	P04637	Activation	11753601
AES	Q08117	EPHA3	P29320	Unknown	20676368
AES	Q08117	LEF1	Q9UJU2	Activation	20676368
AES	Q08117	RND3	P61587	Activation	23546594
AHR	P35869	ABCG2	Q9UNQ0	Unknown	20460431
AHR	P35869	AHRR	A9YTQ3	Activation	18848529
AHR	P35869	ARNT	P27540	Unknown	19255421;8631989
AHR	P35869	BRCA1	P38398	Unknown	18259752
AHR	P35869	CA9	Q16790	Repression	19154183
AHR	P35869	CCND1	P24385	Unknown	24380854
AHR	P35869	CCNG2	Q16589	Activation	22596188
AHR	P35869	CYP1A1	P04798	Activation	12213390;9865727
AHR	P35869	CYP1A1	P04798	Repression	17012224
AHR	P35869	CYP1A1	P04798	Unknown	10359656;12376470;15325265;19376845;21357676;24639079;8631128;9698073
AHR	P35869	CYP1A2	P05177	Unknown	21357676
AHR	P35869	CYP1B1	Q16678	Activation	16115918;19287966
AHR	P35869	CYP1B1	Q16678	Unknown	12376470;19376845;21742528;24299737
AHR	P35869	CYP2B6	P20813	Unknown	19928584
AHR	P35869	FOS	P01100	Unknown	10478842
AHR	P35869	IL13	P35225	Unknown	22981205
AHR	P35869	IL1B	P01584	Unknown	23349129
AHR	P35869	IL6	P05231	Activation	20511231
AHR	P35869	IL6	P05231	Unknown	18483242;23349129
AHR	P35869	MFSD2A	Q8NA29	Unknown	21736709
AHR	P35869	MT2A	P02795	Unknown	23994556
AHR	P35869	MYC	P01106	Unknown	11114727;16091746
AHR	P35869	PCNA	P12004	Activation	12417031
AHR	P35869	RFC3	P40938	Activation	12417031
AHR	P35869	UGT1A1	P22309	Activation	18172616
AHR	P35869	UGT1A6	P19224	Unknown	9466822
AIP	O00170	AHR	P35869	Activation	11469723
AIP	O00170	GREB1	Q4ZG55	Repression	21984905
AIP	O00170	NFKB2	Q00653	Repression	21984905
AIP	O00170	RSF1	Q96T23	Repression	21984905
AIP	O00170	TFF1	P04155	Repression	21984905
AIRE	O43918	CHRNA1	P02708	Unknown	17687331
ANKRD1	Q15327	NPPA	P01160	Repression	18273862
APBB1	O00213	GMPS	P49915	Repression	21453247
APC	P25054	AKT1	P31749	Repression	15888491
APC	P25054	AMHR2	Q16671	Repression	12724325
APC	P25054	BIRC5	O15392	Unknown	11751382
APC	P25054	DLG1	Q12959	Unknown	21858148
APC	P25054	DNMT1	P26358	Repression	12538344
APC	P25054	F8	P00451	Unknown	12010799
APC	P25054	KLF4	O43474	Unknown	12387883
APC	P25054	MYC	P01106	Repression	16510874
APC	P25054	NOS2	P35228	Activation	11935128
APC	P25054	ODC1	P11926	Repression	12112318
APC	P25054	PTGS2	P35354	Repression	10772828;12566320
APC	P25054	PTGS2	P35354	Unknown	11396184
APC	P25054	SGK1	O00141	Repression	18487207
APEX1	P27695	CCL2	P13500	Activation	17045925
APEX1	P27695	CD19	P15391	Activation	10666449
APEX1	P27695	CYP11B2	P19099	Repression	22652909
APEX1	P27695	NFKB1	P19838	Activation	17045925
APEX1	P27695	PTH	P01270	Repression	14633989
APEX1	P27695	RELA	Q04206	Activation	17045925
APEX1	P27695	SLC5A5	Q92911	Activation	14630715
AR	P10275	ACTA1	P68133	Activation	15623502
AR	P10275	AKR1C3	P42330	Repression	22971343
AR	P10275	AKT1	P31749	Activation	11278645
AR	P10275	AKT1	P31749	Repression	20589722
AR	P10275	ALDH1A3	P47895	Unknown	17526768
AR	P10275	ARG1	P05089	Activation	20711410
AR	P10275	ARG2	P78540	Activation	20711410
AR	P10275	ATAD2	Q6PL18	Unknown	22771493
AR	P10275	BSG	P35613	Unknown	14633669
AR	P10275	BTG1	P62324	Repression	16281084
AR	P10275	BTG2	P78543	Repression	16281084
AR	P10275	CDK20	Q8IZL9	Activation	21747169
AR	P10275	CDC6	Q99741	Activation	24583551
AR	P10275	CDC6	Q99741	Unknown	18541154
AR	P10275	CDH1	P12830	Repression	18794357
AR	P10275	CDH11	P55287	Unknown	20191612
AR	P10275	CDH2	P19022	Activation	17297473;18535113
AR	P10275	CDK20	Q8IZL9	Activation	21747169
AR	P10275	CDK6	Q00534	Unknown	15790678
AR	P10275	CDKN1A	P38936	Activation	10076995
AR	P10275	CDKN1A	P38936	Repression	16281084
AR	P10275	CLK3	P49761	Repression	16281084
AR	P10275	CRH	P06850	Repression	16446741
AR	P10275	CRISP1	P54107	Unknown	11223178
AR	P10275	CRISP3	P54108	Unknown	11223178
AR	P10275	CTNNB1	P35222	Activation	18535113
AR	P10275	CYP7B1	O75881	Repression	16630558
AR	P10275	EGFR	P00533	Activation	11556855;21613411
AR	P10275	ELK4	P28324	Unknown	18469865
AR	P10275	EP300	Q09472	Activation	22334658
AR	P10275	ERBB2	P04626	Activation	21613411
AR	P10275	ERBB2	P04626	Unknown	21741601
AR	P10275	ERBB3	P21860	Activation	21741601
AR	P10275	ETV1	P50549	Activation	19789348
AR	P10275	FKBP4	Q02790	Unknown	23192983
AR	P10275	FN1	P02751	Unknown	21055159
AR	P10275	FOLH1	Q04609	Unknown	12539223
AR	P10275	FOXA1	P55317	Unknown	12750453
AR	P10275	GNMT	Q14749	Unknown	23997240
AR	P10275	GREB1	Q4ZG55	Unknown	16496412
AR	P10275	GTF2F1	P35269	Unknown	9238003
AR	P10275	HMMR	O75330	Unknown	18174258
AR	P10275	HMOX1	P09601	Activation	11965035
AR	P10275	IFI16	Q16666	Unknown	16494870
AR	P10275	IGF1R	P08069	Activation	15033751;17202144
AR	P10275	IGFBP3	P17936	Unknown	23859805
AR	P10275	JUN	P05412	Activation	20148354
AR	P10275	KISS1	Q15726	Activation	18331266
AR	P10275	KISS1R	Q969F8	Activation	18331266
AR	P10275	KLF5	Q13887	Unknown	19460858
AR	P10275	KLK1	P06870	Unknown	11532861
AR	P10275	KLK2	P20151	Unknown	11532861;16751804;20688158;9241247
AR	P10275	KLK3	P07288	Activation	10547578;11006269;11504717;11571582;12958311;16425097;16434977;16724108;17566103;20069563;21780100;22179832;23667504;8626436
AR	P10275	KLK3	P07288	Repression	16342680;9316650
AR	P10275	KLK3	P07288	Unknown	11059779;11238180;11532861;12376473;12539223;12648523;12651911;15368351;15543614;15557561;15640095;17011549;17075604;17094454;17426252;17433535;18780293;18829551;19274665;21308712;21981678;22245379;22473899;23884959;24307657;7514587;9052414;9211894
AR	P10275	KLK4	Q9Y5K2	Unknown	12539223
AR	P10275	MED1	Q15648	Unknown	17483314
AR	P10275	MID1	O15344	Unknown	24913494
AR	P10275	MUC1	P15941	Repression	21308711
AR	P10275	MYC	P01106	Unknown	24512546
AR	P10275	NAT1	P18440	Activation	17210686
AR	P10275	NDRG1	Q92597	Unknown	17075604
AR	P10275	NFKB1	P19838	Repression	18386814
AR	P10275	NKX3-1	Q99801	Activation	16697957;17303007
AR	P10275	NKX3-1	Q99801	Unknown	11238180
AR	P10275	NOV	P48745	Unknown	23318417
AR	P10275	NRAS	P01111	Repression	16281084
AR	P10275	PC	P11498	Activation	18497079
AR	P10275	PSCA	O43653	Unknown	23330817
AR	P10275	PEBP1	P30086	Unknown	23095933
AR	P10275	PIGR	P01833	Unknown	11171058
AR	P10275	PIP	P12273	Unknown	21809344
AR	P10275	PMEPA1	Q969W9	Unknown	17075604;18703514
AR	P10275	PNRC1	Q12796	Unknown	10894149
AR	P10275	KLK3	P07288	Unknown	24937452
AR	P10275	PTEN	P60484	Activation	23418309
AR	P10275	PTEN	P60484	Unknown	20729295;21532617
AR	P10275	PTGS2	P35354	Repression	18386814
AR	P10275	PTPN1	P18031	Unknown	22282656
AR	P10275	RELA	Q04206	Repression	18386814
AR	P10275	REST	Q13127	Repression	24163104
AR	P10275	SEPT7	Q16181	Repression	16281084
AR	P10275	SERPINB5	P36952	Repression	16304843
AR	P10275	SESN1	Q9Y6P5	Unknown	16751804
AR	P10275	SRD5A3	Q9H8P0	Unknown	22194926
AR	P10275	STIM1	Q13586	Unknown	21432868
AR	P10275	TBP	P20226	Unknown	9238003
AR	P10275	TCF7L2	Q9NQB0	Unknown	12799378
AR	P10275	TGFA	P01135	Activation	11556855
AR	P10275	TH	P07101	Activation	16356647
AR	P10275	TJP1	Q07157	Activation	18535113
AR	P10275	TMPRSS2	O15393	Activation	20308527;21761340
AR	P10275	TMPRSS2	O15393	Unknown	23192983
AR	P10275	TRPS1	Q9UHF7	Unknown	15613454
AR	P10275	TSC1	Q92574	Repression	21036700
AR	P10275	TSC2	P49815	Repression	21036700
AR	P10275	UCN	P55089	Repression	23801677
AR	P10275	UGT2B15	P54855	Unknown	18302198
AR	P10275	USP26	Q9BXU7	Unknown	20501646
AR	P10275	VEGFA	P15692	Activation	16007189
AR	P10275	VEGFA	P15692	Unknown	23369005
AR	P10275	VIM	P08670	Repression	18535113
AR	P10275	WEE1	P30291	Repression	16281084
AR	P10275	WNT7B	P56706	Activation	21741601
AR	P10275	XIAP	P98170	Repression	20589722
ARID1A	O14497	CDKN1A	P38936	Unknown	21900401
ARID1A	O14497	IGH		Activation	18981111
ARID1A	O14497	SMAD3	P84022	Unknown	21900401
ARID1B	Q8NFD5	IGH		Activation	18981111
ARID3A	Q99856	CDC6	Q99741	Unknown	23659165
ARID3A	Q99856	CDK1	P06493	Unknown	23659165
ARID3A	Q99856	CR2	P20023	Unknown	19487031
ARID3A	Q99856	E2F1	Q01094	Unknown	23659165
ARID3A	Q99856	PML	P29590	Activation	22010578
ARID3A	Q99856	RBL1	P28749	Unknown	23659165
ARNT	P27540	AHR	P35869	Unknown	18540824
ARNT	P27540	BHLHE40	O14503	Unknown	12354771
ARNT	P27540	BRCA1	P38398	Unknown	16567799
ARNT	P27540	CA9	Q16790	Activation	22387692
ARNT	P27540	CCNE1	P24864	Repression	21544813
ARNT	P27540	CDK2	P24941	Repression	21544813
ARNT	P27540	CTSD	P07339	Unknown	9611253
ARNT	P27540	CYP1A1	P04798	Activation	22387692
ARNT	P27540	CYP1A1	P04798	Unknown	12376470;19255421;19376845;8631128
ARNT	P27540	CYP1B1	Q16678	Activation	16115918;19287966
ARNT	P27540	CYP1B1	Q16678	Unknown	12376470;19255421;19376845;21742528;24299737
ARNT	P27540	EGLN2	Q96KS0	Unknown	15178343
ARNT	P27540	EPO	P01588	Activation	8663540
ARNT	P27540	ESR1	P03372	Unknown	17991765
ARNT	P27540	FOS	P01100	Repression	21544813
ARNT	P27540	GAD1	Q99259	Unknown	18335162
ARNT	P27540	HIF1A	Q16665	Activation	14764593
ARNT	P27540	JUN	P05412	Repression	21544813
ARNT	P27540	MFSD2A	Q8NA29	Unknown	21736709
ARNT	P27540	RELB	Q01201	Unknown	17900530
ARNT	P27540	UGT1A6	P19224	Unknown	20854796
ARNT	P27540	VEGFA	P15692	Unknown	16774940;19020709
ARNTL	O00327	BHLHE40	O14503	Activation	19032342
ARNTL	O00327	CRY1	Q16526	Activation	22750052
ARNTL	O00327	CRY1	Q16526	Unknown	17660446
ARNTL	O00327	CRY2	Q49AN0	Activation	22750052
ARNTL	O00327	CRY2	Q49AN0	Unknown	17660446
ARNTL	O00327	PER1	O15534	Activation	17994337;22750052
ARNTL	O00327	PER1	O15534	Unknown	17660446;21479263
ARNTL	O00327	PER2	O15055	Activation	22750052
ARNTL	O00327	PER2	O15055	Unknown	17660446
ARNTL	O00327	PER3	P56645	Activation	22750052
ARNTL2	Q8WYA1	SERPINE1	P05121	Activation	22198637
ARX	Q96QS3	KDM5C	P41229	Unknown	23246292
ARX	Q96QS3	LMO1	P25800	Unknown	23771350
ARX	Q96QS3	PAX4		Unknown	23771350
ARX	Q96QS3	SHOX2	O60902	Unknown	23771350
ASCL1	P50553	CHRNA3	P32297	Unknown	20124469
ASCL1	P50553	CHRNA5	P30532	Unknown	20124469
ASCL1	P50553	CHRNB4	P30926	Unknown	20124469
ASCL1	P50553	DKK1	O94907	Repression	19744316
ASCL1	P50553	IGF2	P01344	Repression	20842449
ASCL1	P50553	PCSK6	P29122	Repression	11736660
ASCL1	P50553	TPH1	P17752	Repression	19744316
ASH1L	Q9NR48	TGFB1	P01137	Unknown	22488473
ASH1L	Q9NR48	TIMP1	P01033	Unknown	22488473
ASXL1	Q8IXJ9	FABP4	P15090	Unknown	21047783
ATF1	P18846	BCL2	P10415	Unknown	10542244
ATF1	P18846	CCNA1	P78396	Repression	12044952
ATF1	P18846	CFTR	P13569	Activation	10075672
ATF1	P18846	CGA	P01215	Unknown	10341006
ATF1	P18846	CYP11B1	P15538	Unknown	11014212;11196473
ATF1	P18846	CYP11B2	P19099	Unknown	11196473
ATF1	P18846	ERBB2	P04626	Unknown	10698518
ATF1	P18846	FLT1	P17948	Unknown	7499271
ATF1	P18846	FTH1	P02794	Activation	17565989
ATF1	P18846	FTH1	P02794	Repression	17565989
ATF1	P18846	GABPA	Q06546	Unknown	10585419
ATF1	P18846	IL10	P22301	Activation	10540320
ATF1	P18846	LDHA	P00338	Unknown	9632793
ATF1	P18846	MAP1LC3B	Q9GZQ8	Activation	20514020
ATF1	P18846	MITF	O75030	Activation	12966428
ATF1	P18846	MITF	O75030	Unknown	20068147
ATF1	P18846	MUC2	Q02817	Unknown	16227528
ATF1	P18846	NTS	P30990	Unknown	7791794
ATF1	P18846	PCSK1	P29120	Activation	8999965
ATF1	P18846	PLAUR	Q03405	Unknown	12369939
ATF1	P18846	SLC20A1	Q8WUM9	Activation	11722845
ATF1	P18846	SLC22A8	Q8TCC7	Unknown	16809478
ATF1	P18846	TGFB2	P61812	Activation	11776974
ATF1	P18846	TH	P07101	Unknown	11108136
ATF1	P18846	TOP2A	P11388	Unknown	12104051
ATF1	P18846	USP7	Q93009	Unknown	7642633
ATF2	P15336	APOC3	P02656	Activation	9760243
ATF2	P15336	ATF3	P18847	Activation	10979959;20581861;8576171
ATF2	P15336	CCND1	P24385	Activation	10464245;10915780
ATF2	P15336	CDKN1A	P38936	Unknown	10506225
ATF2	P15336	CYP11B1	P15538	Unknown	11014212;11196473
ATF2	P15336	CYP11B2	P19099	Unknown	11196473
ATF2	P15336	DUSP1	P28562	Unknown	17681939
ATF2	P15336	DUSP10	Q9Y6W6	Unknown	17681939
ATF2	P15336	FAS	P25445	Unknown	19670268
ATF2	P15336	FASLG	P48023	Unknown	19670268;9710625
ATF2	P15336	FN1	P02751	Unknown	10471826
ATF2	P15336	KAT5	Q92993	Repression	18397884
ATF2	P15336	IFNB1	P01574	Activation	17496231
ATF2	P15336	IFNB1	P01574	Unknown	10848607
ATF2	P15336	IFNG	P01579	Activation	12836278;18641343;20006311;20304822
ATF2	P15336	IMPDH2	P12268	Unknown	9278455
ATF2	P15336	INS	P01308	Activation	21278380
ATF2	P15336	INS	P01308	Unknown	10909971
ATF2	P15336	ITGB8	P26012	Unknown	21878622
ATF2	P15336	JUN	P05412	Activation	9502786
ATF2	P15336	MAP3K1	Q13233	Unknown	9710625
ATF2	P15336	MMP2	P08253	Activation	17079470;17258390
ATF2	P15336	NOS3	P29474	Repression	16497991
ATF2	P15336	PCK1	P35558	Activation	12453892
ATF2	P15336	PCK2	Q16822	Unknown	11042264
ATF2	P15336	PLAT	P00750	Activation	8647095
ATF2	P15336	PLAU	P00749	Unknown	10454570
ATF2	P15336	POLB	P06746	Activation	10518804
ATF2	P15336	PTGS2	P35354	Unknown	11278336;12057991
ATF2	P15336	RELA	Q04206	Activation	21350211
ATF2	P15336	RETN	Q9HD89	Activation	20360975
ATF2	P15336	ST3GAL5	Q9UNP4	Activation	21699754
ATF2	P15336	TGFB2	P61812	Repression	1400310
ATF2	P15336	TNF	P01375	Activation	10688670;10748079;10913190;20068037
ATF3	P18847	ADIPOR1	Q96A54	Repression	20696134
ATF3	P18847	ADIPOR2	Q86V24	Repression	20696134
ATF3	P18847	AK4	P27144	Unknown	23002211
ATF3	P18847	ASNS	P08243	Activation	12881527
ATF3	P18847	ASNS	P08243	Unknown	15385533
ATF3	P18847	CCL5	P13501	Unknown	10760799
ATF3	P18847	CD82	P27701	Unknown	21454613
ATF3	P18847	DDIT3	P35638	Activation	22753726
ATF3	P18847	GDF15	Q99988	Activation	15670751
ATF3	P18847	ID1	P41134	Repression	20565867
ATF3	P18847	IFNG	P01579	Activation	20304822
ATF3	P18847	PCLAF	Q15004	Unknown	19219066
ATF3	P18847	LDLR	P01130	Repression	21294679
ATF3	P18847	MMP2	P08253	Repression	11792711;15102941
ATF3	P18847	PENK	P01210	Unknown	7935470
ATF3	P18847	SELE	P16581	Repression	10964678
ATF3	P18847	TP53	P04637	Unknown	22991139
ATF4	P18848	APOE	P02649	Activation	22028770
ATF4	P18848	ASNS	P08243	Activation	11960987;16164412;17276738
ATF4	P18848	ASNS	P08243	Unknown	15385533;23403946
ATF4	P18848	ATF3	P18847	Activation	16246168;21801305
ATF4	P18848	ATF3	P18847	Unknown	22819556
ATF4	P18848	ATG5	Q9H1Y0	Activation	20038797
ATF4	P18848	BGLAP	P02818	Unknown	21866569
ATF4	P18848	CA9	Q16790	Unknown	19564335
ATF4	P18848	CCL2	P13500	Unknown	16931790
ATF4	P18848	CEBPB	P17676	Activation	16026328
ATF4	P18848	CHAC1	Q9BUX1	Activation	21737788
ATF4	P18848	CXCL8	P10145	Unknown	16931790
ATF4	P18848	DDIT3	P35638	Activation	16246168;17276738;20020050;21044953;21966512
ATF4	P18848	DDIT3	P35638	Unknown	17455323;22691366
ATF4	P18848	DDIT4	Q9NX09	Activation	19059405;19439225
ATF4	P18848	DDR2	Q16832	Activation	20564243
ATF4	P18848	DISC1	Q9NRI5	Unknown	12812986
ATF4	P18848	F7	P08709	Unknown	22848420
ATF4	P18848	FGF19	O95750	Activation	23205607
ATF4	P18848	FGF21	Q9NSA1	Activation	22233381
ATF4	P18848	HRK	O00198	Activation	23090478
ATF4	P18848	HSPA5	P11021	Repression	16205636
ATF4	P18848	IGFBP1	P08833	Activation	16687408
ATF4	P18848	IL6	P05231	Unknown	16931790
ATF4	P18848	IRF7	Q92985	Repression	21148039
ATF4	P18848	MAP1LC3B	Q9GZQ8	Activation	20038797;20514020
ATF4	P18848	MCL1	Q07820	Unknown	22128141
ATF4	P18848	NDC80	O14777	Activation	17822787
ATF4	P18848	NUPR1	O60356	Activation	19946894
ATF4	P18848	PLAU	P00749	Activation	18829529
ATF4	P18848	PTGS2	P35354	Unknown	21244365
ATF4	P18848	S100P	P25815	Unknown	19073601
ATF4	P18848	SIGMAR1	Q99720	Activation	22079628
ATF4	P18848	SIRT1	Q96EB6	Activation	22363646
ATF4	P18848	SIRT1	Q96EB6	Repression	21801305
ATF4	P18848	SIRT2	Q8IXJ6	Repression	21801305
ATF4	P18848	TNFRSF10B	O14763	Unknown	21044953
ATF4	P18848	TRIB3	Q96RU7	Activation	15775988
ATF4	P18848	TRIB3	Q96RU7	Unknown	20592469;21220698
ATF4	P18848	VEGFA	P15692	Activation	15788408;18829529
ATF4	P18848	VEGFA	P15692	Unknown	18451308;22915762;23908598
ATF5	Q9Y2D1	BCL2	P10415	Activation	21212266
ATF5	Q9Y2D1	CCND3	P30281	Activation	16300731
ATF5	Q9Y2D1	CREB1	P16220	Activation	17140605
ATF5	Q9Y2D1	CYP2B6	P20813	Activation	18332083
ATF5	Q9Y2D1	DISC1	Q9NRI5	Unknown	12812986
ATF5	Q9Y2D1	EGR1	P18146	Unknown	19531563
ATF5	Q9Y2D1	ID1	P41134	Repression	18701499
ATF5	Q9Y2D1	SH2D1A	O60880	Unknown	18832568
ATF6	P18850	ATP2A2	P16615	Unknown	11595740
ATF6	P18850	BGLAP	P02818	Unknown	22102412
ATF6	P18850	DDIT3	P35638	Unknown	17455323
ATF6	P18850	DNAJC3	Q13217	Activation	12601012
ATF6	P18850	HSPA5	P11021	Unknown	12713871
ATF6	P18850	MAFA	Q8NHW3	Repression	18450959
ATF6	P18850	NR0B2	Q15466	Activation	18450959
ATF6	P18850	NUCB1	Q02818	Activation	17686766
ATF6	P18850	PDX1	P52945	Repression	18450959
ATF6	P18850	RTN3	O95197	Activation	17191123
ATF6	P18850	SRF	P11831	Unknown	9271374
ATF6	P18850	STARD4	Q96DR4	Activation	16579971
ATF6	P18850	WBP1	Q96G27	Activation	21841196
ATF6	P18850	XBP1	P17861	Unknown	20003459;24269637
ATF7	P17544	ERBB2	P04626	Unknown	10698518
ATF7	P17544	TAF12	Q16514	Activation	15735663
ATM	Q13315	APLF	Q8IW19	Unknown	18077224
ATM	Q13315	BAX	Q07812	Activation	16214353
ATM	Q13315	BCL2	P10415	Repression	16214353
ATM	Q13315	CDKN1A	P38936	Unknown	12420214
ATM	Q13315	CFLAR	O15519	Activation	19351839
ATM	Q13315	CFLAR	O15519	Repression	20876284
ATM	Q13315	DUSP1	P28562	Activation	17178844
ATM	Q13315	FAS	P25445	Activation	19502594
ATM	Q13315	FOXM1	Q08050	Activation	21518729
ATM	Q13315	GADD45A	P24522	Activation	20164679
ATM	Q13315	IGF1R	P08069	Unknown	11172010
ATM	Q13315	KLRK1	P26718	Activation	19767562
ATM	Q13315	MCL1	Q07820	Activation	20164679
ATM	Q13315	MTF1	Q14872	Unknown	12926986
ATM	Q13315	PBK	Q96KB5	Unknown	15220931
ATM	Q13315	PCNA	P12004	Unknown	22362778
ATM	Q13315	PMAIP1	Q13794	Repression	20368352
ATM	Q13315	PVR	P15151	Activation	21406724
ATM	Q13315	PVR	P15151	Repression	21406724
ATM	Q13315	SLC2A1	P11166	Repression	20676049
ATM	Q13315	SP1	P08047	Repression	11466608
ATM	Q13315	SP1	P08047	Unknown	12926986
ATM	Q13315	TERF1	P54274	Repression	17694070
ATM	Q13315	TNFRSF10B	O14763	Repression	19351839
ATM	Q13315	VEGFA	P15692	Repression	20676049
ATOH1	Q92858	HES6	Q96HZ4	Activation	17826772
ATOH1	Q92858	MUC2	Q02817	Activation	17000673
ATRX	P46100	HBA1	P69905	Repression	7697714
ATRX	P46100	HBA2	P69905	Repression	7697714
BACH1	O14867	HMOX1	P09601	Activation	17942419
BACH1	O14867	HMOX1	P09601	Repression	17409198;18550526;21982894
BACH1	O14867	MMP1	P03956	Activation	21873975
BACH2	Q9BYV9	BCL2	P10415	Unknown	18929412
BACH2	Q9BYV9	IL2	P60568	Unknown	18769450
BACH2	Q9BYV9	XBP1	P17861	Repression	24821775
BARD1	Q99728	ESR1	P03372	Activation	20060929
BARX2	Q9UMQ3	ESR1	P03372	Unknown	16636675
BATF	Q16520	CD2	P06729	Unknown	22592317
BCL11A	Q9H165	GATA1	P15976	Activation	23071749
BCL11A	Q9H165	GATA1	P15976	Unknown	20542454
BCL3	P20749	CTCF	P49711	Repression	21912613
BCL3	P20749	EGFR	P00533	Activation	17881446
BCL3	P20749	MYB	P10242	Unknown	9694711
BCL3	P20749	NFKB1	P19838	Repression	11387332
BCL3	P20749	NFKB1	P19838	Unknown	14573596;7896265
BCL3	P20749	RELA	Q04206	Unknown	7896265
BCL6	P41182	BCL2L1	Q07817	Repression	11777915
BCL6	P41182	BCL6	P41182	Repression	12407182
BCL6	P41182	CCND2	P30279	Repression	15509806;22723377
BCL6	P41182	CD80	P33681	Repression	12860928
BCL6	P41182	CDKN1A	P38936	Repression	16142238
BCL6	P41182	CDKN2B	P42772	Repression	22723377
BCL6	P41182	CHEK1	O14757	Repression	18346918
BCL6	P41182	FCER2	P06734	Repression	11342629
BCL6	P41182	HDAC7	Q8WUI4	Repression	11929873
BCL6	P41182	IRF4	Q15306	Repression	10601358
BCL6	P41182	LITAF	Q99732	Repression	23795761
BCL6	P41182	MYC	P01106	Activation	21394099
BCL6	P41182	NFKB1	P19838	Repression	15611242
BCL6	P41182	PDCD2	Q16342	Repression	20605493
BCL6	P41182	PDCD2	Q16342	Unknown	11854457;17468402
BCL6	P41182	STAT3	P40763	Unknown	17951530
BCL6	P41182	SUMO1	P63165	Repression	22723377
BCL6	P41182	XBP1	P17861	Repression	24821775
BDP1	A6H8Y1	MYC	P01106	Unknown	12734418
BDP1	A6H8Y1	RB1	P06400	Unknown	12734418
BDP1	A6H8Y1	TP53	P04637	Unknown	12734418
BHLHE41	Q9C0J9	CCND1	P24385	Repression	18223678
BHLHE41	Q9C0J9	MLH1	P40692	Repression	24165159
BIN1	O00499	MYC	P01106	Unknown	9797456
BMI1	P35226	TERT	O14746	Repression	19903340
BPTF	Q12830	HOXC8	P31273	Unknown	16728976
BRCA1	P38398	AREG	P15514	Repression	20103632
BRCA1	P38398	ASPM	Q8IZT6	Activation	16123590
BRCA1	P38398	ATM	Q13315	Activation	22832221
BRCA1	P38398	BACH1	O14867	Unknown	14576433
BRCA1	P38398	BRCA2	P51587	Unknown	11405179
BRCA1	P38398	CASR	P41180	Unknown	21296416
BRCA1	P38398	CCNB1	P14635	Unknown	12647291
BRCA1	P38398	CCND1	P24385	Unknown	12032322
BRCA1	P38398	CDH3	P22223	Repression	22120723
BRCA1	P38398	CDH3	P22223	Unknown	19882246
BRCA1	P38398	CDKN1A	P38936	Activation	16735508;18025037;21245169
BRCA1	P38398	CDKN1A	P38936	Unknown	10196224;11394910;12647291;9926942
BRCA1	P38398	CDKN1B	P46527	Activation	18025037
BRCA1	P38398	CDKN1B	P46527	Unknown	16331276
BRCA1	P38398	CTSD	P07339	Repression	11244506
BRCA1	P38398	CXCL1	P09341	Repression	22120723
BRCA1	P38398	CYP19A1	P11511	Activation	21087664
BRCA1	P38398	CYP19A1	P11511	Unknown	19445691
BRCA1	P38398	CYP1A1	P04798	Unknown	16567799
BRCA1	P38398	CYP1B1	Q16678	Unknown	16567799
BRCA1	P38398	DDB2	Q92466	Activation	12170778
BRCA1	P38398	DDIT3	P35638	Activation	21700680
BRCA1	P38398	E2F6	O75461	Repression	17096023
BRCA1	P38398	EGFR	P00533	Repression	21396117
BRCA1	P38398	EGR1	P18146	Unknown	20103632
BRCA1	P38398	EP300	Q09472	Activation	11782371
BRCA1	P38398	EP300	Q09472	Unknown	11405179
BRCA1	P38398	ESR1	P03372	Activation	20060929
BRCA1	P38398	FOS	P01100	Unknown	11313879
BRCA1	P38398	FOXC1	Q12948	Repression	22120723
BRCA1	P38398	FOXC2	Q99958	Repression	22120723
BRCA1	P38398	FST	P19883	Activation	22685544
BRCA1	P38398	GADD45A	P24522	Activation	10962562;17428466;18025037
BRCA1	P38398	GADD45A	P24522	Repression	18350249
BRCA1	P38398	GADD45A	P24522	Unknown	11777930;12647291
BRCA1	P38398	HIF1A	Q16665	Unknown	16543242
BRCA1	P38398	HMGA2	P52926	Repression	20007691
BRCA1	P38398	HNRNPA2B1	P22626	Repression	21099359
BRCA1	P38398	HSPA5	P11021	Repression	18776923
BRCA1	P38398	IFNA1	P01562	Activation	17374731
BRCA1	P38398	IGF1	P05019	Repression	18045956
BRCA1	P38398	IGF1R	P08069	Unknown	11001824;19223505
BRCA1	P38398	IRF7	Q92985	Activation	17374731
BRCA1	P38398	IRF9	Q00978	Activation	12212615
BRCA1	P38398	JAK1	P23458	Unknown	11163768
